Execução,Tempo (s),Energia (µJ)
1,5.0233,[260642521.0]
2,4.0901,[189839357.0]
3,3.8096,[164079414.0]
4,3.8727,[170871999.0]
5,3.8268,[170534719.0]
6,3.8142,[167884214.0]
7,3.8373,[174588054.0]
8,3.8902,[169653435.0]
9,3.8478,[173835249.0]
10,3.9638,[180835047.0]
11,3.8272,[169410272.0]
12,3.9102,[178595551.0]
13,3.8966,[177071080.0]
14,3.6924,[160590714.0]
15,3.9537,[176608313.0]
16,3.9343,[179006255.0]
17,4.0158,[193526910.0]
18,3.8865,[187585518.0]
19,3.8992,[177170750.0]
20,3.9672,[178380281.0]
21,3.8554,[175068521.0]
22,3.8637,[170517203.0]
23,3.7959,[161704969.0]
24,4.4761,[252550074.0]
25,4.0222,[184081071.0]
26,3.7988,[160121478.0]
27,3.8482,[173759382.0]
28,4.1242,[201472201.0]
29,3.8151,[173912092.0]
30,3.6665,[157504357.0]
31,4.4055,[237637453.0]
32,3.8378,[169312555.0]
33,3.9151,[193819206.0]
34,4.4201,[247675513.0]
35,3.8753,[175071329.0]
36,3.7494,[165836185.0]
37,3.7086,[159696246.0]
38,4.4627,[256733108.0]
39,4.1442,[206777669.0]
40,3.8489,[177880831.0]
