Execução,Tempo (s),Energia (µJ)
1,0.0745,[3554130.0]
2,0.0524,[2841362.0]
3,0.0966,[4513783.0]
4,0.0919,[4362659.0]
5,0.0668,[3054802.0]
6,0.1034,[3513663.0]
7,0.0789,[3249076.0]
8,0.1515,[10700962.0]
9,0.0612,[3568228.0]
10,0.0753,[3660879.0]
11,0.1077,[4697986.0]
12,0.1091,[4453846.0]
13,0.0803,[3480155.0]
14,0.0732,[3510489.0]
15,0.0821,[3608877.0]
16,0.0894,[3850393.0]
17,0.1501,[10059118.0]
18,0.0682,[3270499.0]
19,0.0797,[3809316.0]
20,0.0923,[4122243.0]
21,0.0897,[4294850.0]
22,0.0889,[3562308.0]
23,0.0818,[3432914.0]
24,0.0796,[3665884.0]
25,0.1434,[10643710.0]
26,0.0772,[3651602.0]
27,0.0799,[3631949.0]
28,0.0928,[3501639.0]
29,0.0932,[4890124.0]
30,0.0638,[3254630.0]
31,0.0742,[3955984.0]
32,0.1136,[6865400.0]
33,0.1071,[7567424.0]
34,0.0909,[4450734.0]
35,0.1016,[4055409.0]
36,0.1179,[8001811.0]
37,0.135,[7656596.0]
38,0.0767,[3760671.0]
39,0.0834,[4179128.0]
40,0.0902,[3706228.0]
