Execução,Tempo (s),Energia (µJ)
1,2.387,[109594202.0]
2,2.347,[105685582.0]
3,2.338,[103432535.0]
4,2.327,[101075791.0]
5,2.331,[103853311.0]
6,2.301,[100392260.0]
7,2.33,[103412943.0]
8,2.308,[103513407.0]
9,2.284,[99448842.0]
10,2.356,[104678626.0]
11,2.291,[98712577.0]
12,2.332,[104125710.0]
13,2.315,[101005052.0]
14,2.269,[98567557.0]
15,2.325,[102903546.0]
16,2.282,[98562308.0]
17,2.306,[105240271.0]
18,2.274,[99403248.0]
19,2.283,[100486438.0]
20,2.274,[102950114.0]
21,2.293,[98912650.0]
22,2.279,[103537393.0]
23,2.296,[104670753.0]
24,2.287,[100483080.0]
25,2.331,[105101294.0]
26,2.293,[100327563.0]
27,2.283,[102366437.0]
28,2.278,[100091785.0]
29,2.27,[97631342.0]
30,2.329,[103228251.0]
31,2.273,[98443596.0]
32,2.308,[104457374.0]
33,2.282,[98835563.0]
34,2.291,[100459643.0]
35,2.297,[100577562.0]
36,2.267,[99204336.0]
37,2.3,[104633033.0]
38,2.269,[98771720.0]
39,2.302,[105417515.0]
40,2.31,[100819810.0]
