Execução,Tempo (s),Energia (µJ)
1,0.315,[13946009.0]
2,0.318,[14930138.0]
3,0.325,[18414442.0]
4,0.32,[14840905.0]
5,0.34,[17065081.0]
6,0.314,[15278587.0]
7,0.306,[13332363.0]
8,0.345,[17565812.0]
9,0.314,[15177329.0]
10,0.329,[17519853.0]
11,0.312,[14650780.0]
12,0.349,[18885206.0]
13,0.313,[13741725.0]
14,0.312,[14004115.0]
15,0.328,[18241469.0]
16,0.316,[14465905.0]
17,0.359,[19677745.0]
18,0.315,[13844752.0]
19,0.313,[14012232.0]
20,0.349,[19443859.0]
21,0.319,[13499416.0]
22,0.312,[14029993.0]
23,0.354,[18944288.0]
24,0.316,[13573818.0]
25,0.325,[14293847.0]
26,0.329,[17580644.0]
27,0.306,[13518093.0]
28,0.322,[14916404.0]
29,0.323,[16863483.0]
30,0.317,[14358422.0]
31,0.34,[19200696.0]
32,0.308,[14135889.0]
33,0.314,[14162134.0]
34,0.338,[18634108.0]
35,0.315,[14017420.0]
36,0.316,[13675990.0]
37,0.346,[18391494.0]
38,0.319,[14216944.0]
39,0.336,[18238540.0]
40,0.319,[14538659.0]
